,cement,slag,ash,water,superplastic,coarseagg,fineagg,age,strength
0,277,0,0,43,5,221,37,28,841
1,277,0,0,43,5,235,37,28,781
2,220,86,0,190,0,110,0,270,537
3,220,86,0,190,0,110,0,365,550
4,96,71,0,143,0,170,235,360,602
5,150,48,0,190,0,110,33,90,632
6,242,29,0,190,0,110,0,365,591
7,242,29,0,190,0,110,0,28,457
8,150,48,0,190,0,110,33,28,619
9,264,0,0,190,0,110,0,28,512
10,96,71,0,143,0,170,235,90,487
11,96,71,0,143,0,170,235,28,306
12,257,16,0,190,0,110,0,270,583
13,90,143,0,190,0,110,33,90,574
14,189,22,0,190,0,110,33,28,641
15,242,0,0,190,0,110,33,90,699
16,12,154,0,143,0,226,215,90,515
17,228,12,0,190,0,110,33,365,738
18,242,29,0,190,0,110,0,90,540
19,264,0,0,190,0,110,0,180,578
20,257,16,0,190,0,110,0,180,564
21,12,154,0,143,0,226,215,28,308
22,12,154,0,143,0,226,215,3,21
23,12,154,0,143,0,226,215,180,600
24,242,0,0,190,0,110,33,365,695
25,242,0,0,190,0,110,33,270,702
26,242,29,0,190,0,110,0,270,552
27,228,12,0,190,0,110,33,180,687
28,257,16,0,190,0,110,0,28,476
29,264,0,0,190,0,110,0,7,497
30,189,22,0,190,0,110,33,365,725
31,150,48,0,190,0,110,33,365,699
32,96,71,0,143,0,170,235,180,563
33,264,0,0,190,0,110,0,270,569
34,90,143,0,190,0,110,33,365,708
35,123,166,0,190,0,110,0,270,493
36,123,166,0,190,0,110,0,28,336
37,220,86,0,190,0,110,0,90,479
38,264,0,0,190,0,110,0,90,572
39,123,166,0,190,0,110,0,180,453
40,228,12,0,190,0,110,33,90,665
41,257,16,0,190,0,110,0,365,591
42,123,166,0,190,0,110,0,365,504
43,242,0,0,190,0,110,33,180,701
44,257,16,0,190,0,110,0,90,559
45,257,16,0,190,0,110,0,7,437
46,229,0,0,143,0,226,215,3,106
47,242,29,0,190,0,110,0,180,546
48,123,166,0,190,0,110,0,7,279
49,242,29,0,190,0,110,0,7,387
50,220,86,0,190,0,110,0,180,530
51,90,143,0,190,0,110,33,180,631
52,123,166,0,190,0,110,0,90,402
53,189,22,0,190,0,110,33,90,655
54,12,154,0,143,0,226,215,7,96
55,96,71,0,143,0,170,235,7,98
56,264,0,0,190,0,110,0,365,566
57,96,71,0,143,0,170,235,3,27
58,189,22,0,190,0,110,33,180,674
59,220,86,0,190,0,110,0,28,396
60,189,22,0,190,0,110,33,270,716
61,150,48,0,190,0,110,33,270,682
62,195,0,0,143,0,160,255,3,36
63,90,143,0,190,0,110,33,270,669
64,150,48,0,190,0,110,33,180,649
65,228,12,0,190,0,110,33,270,721
66,12,154,0,143,0,226,215,360,610
67,220,86,0,190,0,110,0,7,341
68,90,143,0,190,0,110,33,28,547
69,266,0,0,13,0,278,201,28,822
70,237,142,0,66,59,104,122,3,428
71,199,176,0,84,45,225,2,3,314
72,256,43,0,19,97,36,283,3,409
73,256,43,0,18,101,114,208,3,454
74,239,27,0,1,108,36,301,3,317
75,264,57,0,106,48,36,173,3,480
76,263,54,0,4,110,36,246,3,535
77,256,43,0,19,97,36,283,3,409
78,248,31,0,28,79,36,297,3,307
79,276,0,0,7,109,36,288,3,556
80,256,43,0,19,97,36,283,3,409
81,206,159,0,25,90,36,279,3,255
82,253,28,0,16,72,130,256,3,551
83,235,141,0,50,74,127,121,3,441
84,213,178,0,117,61,124,26,3,309
85,241,98,0,20,94,282,1,3,311
86,235,141,0,50,74,127,121,3,441
87,167,149,0,10,70,192,208,3,236
88,235,141,0,50,74,127,121,3,441
89,259,129,0,123,69,68,68,3,513
90,249,141,0,12,106,127,121,3,542
91,235,141,0,50,74,127,121,3,441
92,225,141,0,81,53,127,121,3,229
93,237,142,0,66,59,104,122,7,622
94,199,176,0,84,45,225,2,7,581
95,256,43,0,19,97,36,283,7,656
96,256,43,0,18,101,114,208,7,629
97,239,27,0,1,108,36,301,7,616
98,264,57,0,106,48,36,173,7,730
99,263,54,0,4,110,36,246,7,719
100,256,43,0,19,97,36,283,7,656
101,248,31,0,28,79,36,297,7,436
102,276,0,0,7,109,36,288,7,630
103,256,43,0,19,97,36,283,7,656
104,206,159,0,25,90,36,279,7,409
105,253,28,0,16,72,130,256,7,713
106,235,141,0,50,74,127,121,7,734
107,213,178,0,117,61,124,26,7,659
108,241,98,0,20,94,282,1,7,633
109,235,141,0,50,74,127,121,7,734
110,167,149,0,10,70,192,208,7,485
111,235,141,0,50,74,127,121,7,734
112,259,129,0,123,69,68,68,7,737
113,249,141,0,12,106,127,121,7,761
114,235,141,0,50,74,127,121,7,206
115,225,141,0,81,53,127,121,7,438
116,237,142,0,66,59,104,122,28,775
117,199,176,0,84,45,225,2,28,767
118,256,43,0,19,97,36,283,28,771
119,256,43,0,18,101,114,208,28,779
120,239,27,0,1,108,36,301,28,745
121,264,57,0,106,48,36,173,28,812
122,263,54,0,4,110,36,246,28,803
123,256,43,0,19,97,36,283,28,771
124,248,31,0,28,79,36,297,28,670
125,276,0,0,7,109,36,288,28,740
126,256,43,0,19,97,36,283,28,771
127,206,159,0,25,90,36,279,28,727
128,253,28,0,16,72,130,256,28,813
129,235,141,0,50,74,127,121,28,819
130,213,178,0,117,61,124,26,28,832
131,241,98,0,20,94,282,1,28,688
132,235,141,0,50,74,127,121,28,819
133,167,149,0,10,70,192,208,28,808
134,235,141,0,50,74,127,121,28,819
135,259,129,0,123,69,68,68,28,796
136,249,141,0,12,106,127,121,28,831
137,235,141,0,50,74,127,121,28,819
138,225,141,0,81,53,127,121,28,660
139,237,142,0,66,59,104,122,56,788
140,199,176,0,84,45,225,2,56,792
141,256,43,0,19,97,36,283,56,791
142,256,43,0,18,101,114,208,56,792
143,239,27,0,1,108,36,301,56,769
144,264,57,0,106,48,36,173,56,824
145,263,54,0,4,110,36,246,56,815
146,256,43,0,19,97,36,283,56,791
147,248,31,0,28,79,36,297,56,723
148,276,0,0,7,109,36,288,56,759
149,256,43,0,19,97,36,283,56,791
150,206,159,0,25,90,36,279,56,797
151,253,28,0,16,72,130,256,56,827
152,235,141,0,50,74,127,121,56,837
153,213,178,0,117,61,124,26,56,842
154,241,98,0,20,94,282,1,56,719
155,235,141,0,50,74,127,121,56,837
156,167,149,0,10,70,192,208,56,825
157,235,141,0,50,74,127,121,56,837
158,259,129,0,123,69,68,68,56,821
159,249,141,0,12,106,127,121,56,840
160,235,141,0,50,74,127,121,56,837
161,225,141,0,81,53,127,121,56,768
162,237,142,0,66,59,104,122,91,792
163,199,176,0,84,45,225,2,91,799
164,256,43,0,19,97,36,283,91,793
165,256,43,0,18,101,114,208,91,800
166,239,27,0,1,108,36,301,91,785
167,264,57,0,106,48,36,173,91,829
168,263,54,0,4,110,36,246,91,818
169,256,43,0,19,97,36,283,91,793
170,248,31,0,28,79,36,297,91,754
171,276,0,0,7,109,36,288,91,762
172,256,43,0,19,97,36,283,91,793
173,206,159,0,25,90,36,279,91,811
174,253,28,0,16,72,130,256,91,834
175,235,141,0,50,74,127,121,91,839
176,241,98,0,20,94,282,1,91,741
177,235,141,0,50,74,127,121,91,839
178,167,149,0,10,70,192,208,91,836
179,235,141,0,50,74,127,121,91,839
180,259,129,0,123,69,68,68,91,826
181,249,141,0,12,106,127,121,91,844
182,235,141,0,50,74,127,121,91,839
183,225,141,0,81,53,127,121,91,809
184,112,0,36,133,13,155,272,3,55
185,112,0,36,133,13,155,272,14,239
186,112,0,36,133,13,155,272,28,246
187,112,0,36,133,13,155,272,56,324
188,112,0,36,133,13,155,272,100,545
189,118,0,31,158,14,131,257,3,43
190,118,0,31,158,14,131,257,14,195
191,118,0,31,158,14,131,257,28,205
192,118,0,31,158,14,131,257,56,298
193,118,0,31,158,14,131,257,100,430
194,95,0,45,52,35,198,296,3,64
195,95,0,45,52,35,198,296,14,249
196,95,0,45,52,35,198,296,28,268
197,95,0,45,52,35,198,296,56,424
198,95,0,45,52,35,198,296,100,472
199,92,0,84,44,37,266,209,3,105
200,92,0,84,44,37,266,209,14,176
201,92,0,84,44,37,266,209,28,282
202,92,0,84,44,37,266,209,56,443
203,92,0,84,44,37,266,209,100,541
204,102,0,74,103,19,239,164,3,66
205,102,0,74,103,19,239,164,14,173
206,102,0,74,103,19,239,164,28,247
207,102,0,74,103,19,239,164,56,425
208,102,0,74,103,19,239,164,100,526
209,116,0,68,154,14,216,128,3,38
210,116,0,68,154,14,216,128,14,166
211,116,0,68,154,14,216,128,28,240
212,116,0,68,154,14,216,128,56,360
213,116,0,68,154,14,216,128,100,443
214,91,0,83,42,57,265,207,3,29
215,91,0,83,42,57,265,207,14,203
216,91,0,83,42,57,265,207,28,310
217,91,0,83,42,57,265,207,56,496
218,91,0,83,42,57,265,207,100,539
219,72,0,127,88,13,240,167,3,47
220,72,0,127,88,13,240,167,14,261
221,72,0,127,88,13,240,167,28,184
222,72,0,127,88,13,240,167,56,312
223,72,0,127,88,13,240,167,100,412
224,76,13,128,0,19,241,167,3,18
225,76,13,128,0,19,241,167,14,141
226,76,13,128,0,19,241,167,28,231
227,76,13,128,0,19,241,167,56,389
228,76,13,128,0,19,241,167,100,510
229,106,33,1,110,30,247,181,3,145
230,106,33,1,110,30,247,181,14,342
231,106,33,1,110,30,247,181,28,617
232,106,33,1,110,30,247,181,56,672
233,106,33,1,110,30,247,181,100,711
234,107,33,1,110,29,248,182,3,75
235,107,33,1,110,29,248,182,14,142
236,107,33,1,110,29,248,182,28,536
237,107,33,1,110,29,248,182,56,634
238,107,33,1,110,29,248,182,100,661
239,115,0,67,152,23,214,125,3,80
240,115,0,67,152,23,214,125,14,196
241,115,0,67,152,23,214,125,28,242
242,115,0,67,152,23,214,125,56,356
243,115,0,67,152,23,214,125,100,547
244,125,0,30,125,31,135,252,3,164
245,125,0,30,125,31,135,252,14,267
246,125,0,30,125,31,135,252,28,340
247,125,0,30,125,31,135,252,56,524
248,125,0,30,125,31,135,252,100,602
249,130,0,34,127,18,143,265,3,89
250,130,0,34,127,18,143,265,14,248
251,130,0,34,127,18,143,265,28,320
252,130,0,34,127,18,143,265,56,492
253,130,0,34,127,18,143,265,100,575
254,103,0,44,36,46,201,294,3,84
255,103,0,44,36,46,201,294,14,280
256,103,0,44,36,46,201,294,28,361
257,103,0,44,36,46,201,294,56,577
258,103,0,44,36,46,201,294,100,582
259,104,0,44,37,62,191,295,3,79
260,104,0,44,37,62,191,295,14,257
261,104,0,44,37,62,191,295,28,474
262,104,0,44,37,62,191,295,56,605
263,104,0,44,37,62,191,295,100,639
264,101,0,81,34,37,262,200,3,160
265,101,0,81,34,37,262,200,14,356
266,101,0,81,34,37,262,200,28,495
267,101,0,81,34,37,262,200,56,613
268,101,0,81,34,37,262,200,100,642
269,117,0,74,79,29,238,163,3,112
270,117,0,74,79,29,238,163,14,284
271,117,0,74,79,29,238,163,28,419
272,117,0,74,79,29,238,163,56,580
273,117,0,74,79,29,238,163,100,618
274,132,0,68,130,20,215,126,3,131
275,132,0,68,130,20,215,126,14,334
276,132,0,68,130,20,215,126,28,327
277,132,0,68,130,20,215,126,56,465
278,132,0,68,130,20,215,126,100,590
279,132,0,68,130,26,215,126,3,74
280,132,0,68,130,26,215,126,14,237
281,132,0,68,130,26,215,126,28,383
282,132,0,68,130,26,215,126,56,460
283,132,0,68,130,26,215,126,100,600
284,84,0,132,63,36,236,160,3,86
285,84,0,132,63,36,236,160,14,185
286,84,0,132,63,36,236,160,28,301
287,84,0,132,63,36,236,160,56,445
288,84,0,132,63,36,236,160,100,615
289,86,15,76,67,41,242,170,3,13
290,86,15,76,67,41,242,170,14,183
291,86,15,76,67,41,242,170,28,355
292,86,15,76,67,41,242,170,56,588
293,86,15,76,67,41,242,170,100,648
294,77,14,80,31,66,259,198,3,14
295,77,14,80,31,66,259,198,14,215
296,77,14,80,31,66,259,198,28,352
297,77,14,80,31,66,259,198,56,508
298,77,14,80,31,66,259,198,100,644
299,174,0,35,60,52,149,267,3,200
300,174,0,35,60,52,149,267,14,432
301,174,0,35,60,52,149,267,28,434
302,174,0,35,60,52,149,267,56,613
303,174,0,35,60,52,149,267,100,653
304,160,0,38,40,76,164,276,3,210
305,160,0,38,40,76,164,276,14,565
306,160,0,38,40,76,164,276,28,645
307,160,0,38,40,76,164,276,56,676
308,160,0,38,40,76,164,276,100,731
309,176,0,33,71,48,141,264,3,208
310,176,0,33,71,48,141,264,14,440
311,176,0,33,71,48,141,264,28,532
312,176,0,33,71,48,141,264,56,650
313,176,0,33,71,48,141,264,100,686
314,133,0,42,14,82,195,291,3,175
315,133,0,42,14,82,195,291,14,408
316,133,0,42,14,82,195,291,28,422
317,133,0,42,14,82,195,291,56,599
318,133,0,42,14,82,195,291,100,615
319,129,0,40,30,85,176,284,3,110
320,129,0,40,30,85,176,284,14,313
321,129,0,40,30,85,176,284,28,347
322,129,0,40,30,85,176,284,56,568
323,129,0,40,30,85,176,284,100,677
324,136,0,40,15,89,176,284,3,188
325,136,0,40,15,89,176,284,14,573
326,136,0,40,15,89,176,284,28,668
327,136,0,40,15,89,176,284,56,733
328,136,0,40,15,89,176,284,100,773
329,128,0,82,9,78,263,203,3,216
330,128,0,82,9,78,263,203,14,571
331,128,0,82,9,78,263,203,28,694
332,128,0,82,9,78,263,203,56,772
333,128,0,82,9,78,263,203,100,798
334,156,0,73,38,57,234,159,3,222
335,156,0,73,38,57,234,159,14,501
336,156,0,73,38,57,234,159,28,679
337,156,0,73,38,57,234,159,56,749
338,156,0,73,38,57,234,159,100,757
339,180,0,66,80,53,209,118,3,191
340,180,0,66,80,53,209,118,14,466
341,180,0,66,80,53,209,118,28,637
342,180,0,66,80,53,209,118,56,684
343,180,0,66,80,53,209,118,100,746
344,106,0,137,23,60,233,158,3,138
345,106,0,137,23,60,233,158,14,419
346,106,0,137,23,60,233,158,28,534
347,106,0,137,23,60,233,158,56,627
348,106,0,137,23,60,233,158,100,663
349,105,0,136,22,75,232,157,3,135
350,105,0,136,22,75,232,157,14,417
351,105,0,136,22,75,232,157,28,621
352,105,0,136,22,75,232,157,56,680
353,105,0,136,22,75,232,157,100,763
354,161,32,1,41,70,245,174,3,344
355,161,32,1,41,70,245,174,14,638
356,161,32,1,41,70,245,174,28,787
357,161,32,1,41,70,245,174,56,802
358,161,32,1,41,70,245,174,100,804
359,109,20,78,6,77,255,191,3,295
360,109,20,78,6,77,255,191,14,451
361,109,20,78,6,77,255,191,28,728
362,109,20,78,6,77,255,191,56,783
363,109,20,78,6,77,255,191,100,789
364,108,19,75,24,54,206,169,3,146
365,108,19,75,24,54,206,169,14,497
366,108,19,75,24,54,206,169,28,688
367,108,19,75,24,54,206,169,56,712
368,108,19,75,24,54,206,169,100,744
369,110,0,79,33,71,257,195,3,109
370,110,0,79,33,71,257,195,14,273
371,110,0,79,33,71,257,195,28,339
372,110,0,79,33,71,257,195,56,470
373,110,0,79,33,71,257,195,100,623
374,240,0,0,182,0,190,138,3,125
375,240,0,0,182,0,190,138,14,266
376,240,0,0,182,0,190,138,28,370
377,240,0,0,182,0,190,138,56,454
378,240,0,0,182,0,190,138,100,584
379,268,0,0,5,11,153,258,28,807
380,264,0,2,8,2,268,13,28,753
381,202,79,0,11,21,281,108,28,843
382,270,0,3,151,0,217,8,28,790
383,262,0,0,51,71,217,108,28,838
384,271,0,0,43,41,0,205,28,557
385,272,0,0,65,16,40,259,28,770
386,275,0,0,120,30,96,81,28,748
387,272,0,0,82,16,54,211,28,675
388,246,0,100,29,104,80,145,28,729
389,269,0,0,162,6,279,5,28,598
390,261,17,0,162,6,279,5,28,516
391,251,4,122,55,105,154,10,28,732
392,221,5,126,55,98,182,18,28,636
393,222,6,122,132,92,154,10,28,603
394,254,0,0,82,0,278,54,28,689
395,97,148,0,134,0,283,27,28,657
396,271,0,0,43,42,0,205,28,557
397,25,51,70,118,19,21,278,28,319
398,64,65,76,112,26,12,277,28,517
399,119,101,0,132,21,173,132,28,513
400,130,132,32,34,53,43,201,28,810
401,264,0,0,43,53,224,28,28,756
402,166,143,0,45,36,218,43,28,706
403,233,58,0,39,49,244,23,28,760
404,155,132,72,43,62,19,144,28,835
405,268,0,0,17,49,219,19,28,817
406,70,0,114,47,0,193,292,3,93
407,70,66,95,83,40,194,109,3,159
408,83,69,69,100,9,200,110,3,170
409,75,70,91,84,37,197,109,3,102
410,79,2,134,26,12,197,261,3,181
411,81,18,135,49,27,196,192,3,209
412,74,21,132,48,38,200,150,3,113
413,82,26,123,74,55,199,109,3,121
414,91,0,83,53,57,258,199,3,68
415,130,0,34,142,17,132,263,3,24
416,105,0,136,35,75,223,151,3,117
417,95,0,45,67,35,183,293,3,61
418,132,0,68,145,20,223,120,3,59
419,70,0,114,47,0,193,292,14,127
420,70,66,95,83,40,194,109,14,401
421,83,69,69,100,9,200,110,14,426
422,75,70,91,84,37,197,109,14,365
423,79,2,134,26,12,197,261,14,330
424,81,18,135,49,27,196,192,14,395
425,74,21,132,48,38,200,150,14,391
426,82,26,123,74,55,199,109,14,325
427,91,0,83,53,57,258,199,14,159
428,130,0,34,142,17,132,263,14,244
429,105,0,136,35,75,223,151,14,326
430,95,0,45,67,35,183,293,14,232
431,132,0,68,145,20,223,120,14,170
432,70,0,114,47,0,193,292,28,277
433,70,66,95,83,40,194,109,28,626
434,83,69,69,100,9,200,110,28,509
435,75,70,91,84,37,197,109,28,554
436,79,2,134,26,12,197,261,28,416
437,81,18,135,49,27,196,192,28,489
438,74,21,132,48,38,200,150,28,558
439,82,26,123,74,55,199,109,28,481
440,91,0,83,53,57,258,199,28,245
441,130,0,34,142,17,132,263,28,292
442,105,0,136,35,75,223,151,28,609
443,95,0,45,67,35,183,293,28,470
444,132,0,68,145,20,223,120,28,405
445,70,0,114,47,0,193,292,56,458
446,70,66,95,83,40,194,109,56,709
447,83,69,69,100,9,200,110,56,647
448,75,70,91,84,37,197,109,56,681
449,79,2,134,26,12,197,261,56,448
450,81,18,135,49,27,196,192,56,710
451,74,21,132,48,38,200,150,56,704
452,82,26,123,74,55,199,109,56,654
453,91,0,83,53,57,258,199,56,363
454,130,0,34,142,17,132,263,56,527
455,105,0,136,35,75,223,151,56,678
456,95,0,45,67,35,183,293,56,587
457,132,0,68,145,20,223,120,56,511
458,70,0,114,47,0,193,292,100,484
459,70,66,95,83,40,194,109,100,720
460,83,69,69,100,9,200,110,100,662
461,75,70,91,84,37,197,109,100,707
462,79,2,134,26,12,197,261,100,478
463,81,18,135,49,27,196,192,100,736
464,74,21,132,48,38,200,150,100,747
465,82,26,123,74,55,199,109,100,673
